date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:09:11	1094/1094	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Nov%202015%2002:09:11%20GMT	http://docbook.sourceforge.net/robots.txt		(from )
09:09:12	5304/5304	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Nov%202015%2002:09:12%20GMT	http://docbook.sourceforge.net/release/xsl/1.76.1/	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/index.html	(from )
09:09:13	143/143	---M--	200	added ('OK')	text/plain	etag:%228f-47c455a838900%22	http://docbook.sourceforge.net/release/xsl/1.76.1/AUTHORS	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/AUTHORS	(from http://docbook.sourceforge.net/release/xsl/1.76.1/)
09:09:13	578/578	---M--	200	added ('OK')	text/plain	etag:%22242-47c455a838900%22	http://docbook.sourceforge.net/release/xsl/1.76.1/BUGS	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/BUGS	(from http://docbook.sourceforge.net/release/xsl/1.76.1/)
09:09:14	5304/5304	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Nov%202015%2002:09:13%20GMT	http://docbook.sourceforge.net/release/xsl/1.76.1/?C=N;O=A	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/indexb70a.html	(from http://docbook.sourceforge.net/release/xsl/1.76.1/)
09:09:14	606/606	---M--	200	added ('OK')	text/xml	etag:%2225e-4940358888f80%22	http://docbook.sourceforge.net/release/xsl/1.76.1/catalog.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/catalog.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/)
09:09:14	5304/5304	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Nov%202015%2002:09:14%20GMT	http://docbook.sourceforge.net/release/xsl/1.76.1/?C=M;O=A	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/indexf8a0.html	(from http://docbook.sourceforge.net/release/xsl/1.76.1/)
09:09:14	679/679	---M--	200	added ('OK')	text/plain	etag:%222a7-47c455a838900%22	http://docbook.sourceforge.net/release/xsl/1.76.1/TODO	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/TODO	(from http://docbook.sourceforge.net/release/xsl/1.76.1/)
09:09:15	5304/5304	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Nov%202015%2002:09:15%20GMT	http://docbook.sourceforge.net/release/xsl/1.76.1/?C=S;O=D	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/index5851.html	(from http://docbook.sourceforge.net/release/xsl/1.76.1/)
09:09:15	1960/1960	---M-Z	200	added ('OK')	text/plain	etag:%227a8-47c455a838900%22	http://docbook.sourceforge.net/release/xsl/1.76.1/COPYING	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/COPYING	(from http://docbook.sourceforge.net/release/xsl/1.76.1/)
09:09:15	5304/5304	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Nov%202015%2002:09:15%20GMT	http://docbook.sourceforge.net/release/xsl/1.76.1/?C=D;O=A	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/index30b5.html	(from http://docbook.sourceforge.net/release/xsl/1.76.1/)
